playerid,Name,Team,MarApr_PA,MarApr_AB,MarApr_H,MarApr_HR,MarApr_R,MarApr_RBI,MarApr_SB,MarApr_BB%,MarApr_K%,MarApr_ISO,MarApr_BABIP,MarApr_AVG,MarApr_OBP,MarApr_SLG,MarApr_LD%,MarApr_GB%,MarApr_FB%,MarApr_IFFB%,MarApr_HR/FB,MarApr_O-Swing%,MarApr_Z-Swing%,MarApr_Swing%,MarApr_O-Contact%,MarApr_Z-Contact%,MarApr_Contact%,FullSeason_OBP
5409,Pablo Sandoval,SFG,46,46,13,2,8,6,0,0.0%,26.1%,0.304,0.344,0.28300000000000003,0.28300000000000003,0.5870000000000001,32.4%,44.1%,23.5%,0.0%,25.0%,50.0%,76.4%,61.2%,71.4%,80.0%,76.0%,0.313
4022,Melky Cabrera,PIT,88,85,28,3,8,7,1,3.4%,12.5%,0.165,0.35200000000000004,0.32899999999999996,0.35200000000000004,0.494,25.7%,44.6%,29.7%,9.1%,13.6%,34.5%,73.6%,51.0%,81.4%,92.4%,88.1%,0.313
6609,Freddy Galvis,TOR,99,96,30,5,14,12,2,3.0%,21.2%,0.198,0.35700000000000004,0.313,0.33299999999999996,0.51,20.3%,40.5%,39.2%,3.4%,17.2%,35.5%,71.3%,51.5%,54.2%,83.8%,72.5%,0.29600000000000004
10472,Enrique Hernandez,LAD,111,97,25,6,16,17,0,11.7%,23.4%,0.247,0.28800000000000003,0.258,0.342,0.505,23.6%,34.7%,41.7%,10.0%,20.0%,26.9%,66.7%,43.1%,57.5%,89.5%,77.7%,0.304
18314,Dansby Swanson,ATL,112,96,25,5,14,22,2,10.7%,22.3%,0.26,0.29,0.26,0.33899999999999997,0.521,27.0%,40.5%,32.4%,4.2%,20.8%,23.5%,68.5%,42.6%,64.1%,83.9%,77.6%,0.325
12092,Niko Goodrum,DET,98,80,19,3,12,11,3,17.3%,22.4%,0.213,0.28600000000000003,0.23800000000000002,0.36700000000000005,0.45,33.9%,35.6%,30.5%,5.6%,16.7%,23.1%,66.5%,40.6%,55.2%,79.6%,71.3%,0.322
12161,Xander Bogaerts,BOS,123,107,29,4,18,16,0,12.2%,21.1%,0.196,0.321,0.271,0.358,0.467,22.0%,30.5%,47.6%,0.0%,10.3%,28.5%,56.3%,40.3%,67.1%,87.5%,79.2%,0.384
5417,Jose Altuve,HOU,128,113,28,9,15,20,1,10.9%,16.4%,0.265,0.226,0.248,0.32799999999999996,0.513,16.7%,45.6%,37.8%,23.5%,26.5%,24.1%,68.1%,41.4%,62.9%,86.7%,78.3%,0.353
15464,Hunter Renfroe,SDP,82,75,18,6,9,12,1,7.3%,23.2%,0.33299999999999996,0.235,0.24,0.293,0.573,21.1%,40.4%,38.6%,4.5%,27.3%,41.6%,70.8%,52.9%,70.9%,87.1%,79.3%,0.289
10542,Derek Dietrich,CIN,65,54,11,5,8,14,0,9.2%,20.0%,0.33299999999999996,0.162,0.204,0.32299999999999995,0.537,17.1%,34.1%,48.8%,25.0%,25.0%,31.1%,72.0%,47.2%,60.8%,80.5%,72.7%,0.32799999999999996
13807,Kevin Plawecki,CLE,33,27,6,1,3,1,0,18.2%,18.2%,0.222,0.25,0.222,0.364,0.444,20.0%,30.0%,50.0%,20.0%,10.0%,18.2%,74.6%,43.6%,71.4%,80.9%,78.7%,0.287
14350,Raimel Tapia,COL,72,68,18,3,4,10,0,5.6%,30.6%,0.27899999999999997,0.349,0.265,0.306,0.544,19.6%,43.5%,37.0%,0.0%,17.6%,40.1%,79.6%,55.6%,53.7%,80.2%,68.6%,0.309
14274,Mitch Haniger,SEA,131,115,28,6,27,17,3,9.2%,26.7%,0.261,0.293,0.243,0.32799999999999996,0.504,24.7%,35.8%,39.5%,12.5%,18.8%,24.1%,60.8%,40.2%,53.8%,84.5%,74.2%,0.314
9892,Jay Bruce,SEA,92,82,16,9,14,16,0,10.9%,33.7%,0.37799999999999995,0.16699999999999998,0.195,0.28300000000000003,0.573,15.7%,27.5%,56.9%,0.0%,31.0%,31.3%,79.9%,50.1%,52.1%,74.8%,66.1%,0.261
12180,Jorge Alfaro,MIA,83,77,22,5,9,9,0,3.6%,37.3%,0.195,0.415,0.28600000000000003,0.337,0.48100000000000004,28.3%,45.7%,26.1%,0.0%,41.7%,51.6%,74.6%,59.8%,54.1%,71.6%,61.8%,0.312
9015,Gordon Beckham,DET,47,41,9,3,7,4,1,10.6%,38.3%,0.293,0.3,0.22,0.319,0.512,21.7%,34.8%,43.5%,20.0%,30.0%,33.3%,66.7%,50.0%,56.3%,71.9%,66.7%,0.271
12160,Ben Gamel,MIL,65,55,15,1,10,4,1,13.8%,30.8%,0.145,0.41200000000000003,0.273,0.385,0.418,28.6%,40.0%,31.4%,0.0%,9.1%,23.3%,54.5%,35.9%,55.3%,86.7%,74.5%,0.337
9393,Matt Adams,WSN,54,51,14,3,6,13,0,3.7%,35.2%,0.275,0.36700000000000005,0.275,0.29600000000000004,0.5489999999999999,27.3%,33.3%,39.4%,7.7%,23.1%,38.1%,75.9%,53.3%,53.3%,88.3%,73.3%,0.276
11281,Whit Merrifield,KCR,130,118,34,4,22,11,5,8.5%,15.4%,0.195,0.316,0.28800000000000003,0.34600000000000003,0.483,29.9%,34.0%,36.1%,8.6%,11.4%,30.7%,65.7%,47.3%,79.0%,86.6%,84.0%,0.348
9308,Josh Phegley,OAK,64,61,17,3,14,13,0,3.1%,20.3%,0.23,0.311,0.27899999999999997,0.313,0.508,33.3%,14.6%,52.1%,16.0%,12.0%,34.5%,65.5%,48.7%,61.2%,89.7%,78.7%,0.282
14566,Franmil Reyes,SDP,91,82,19,8,9,14,0,7.7%,22.0%,0.32899999999999996,0.196,0.23199999999999998,0.28600000000000003,0.561,21.9%,31.3%,46.9%,0.0%,26.7%,38.8%,80.9%,56.1%,56.2%,81.1%,70.9%,0.31
8722,Jason Castro,MIN,39,31,6,2,7,4,0,20.5%,23.1%,0.226,0.2,0.19399999999999998,0.359,0.419,9.1%,36.4%,54.5%,8.3%,16.7%,23.8%,65.0%,39.1%,58.3%,76.9%,69.8%,0.332
13473,Dwight Smith Jr.,BAL,114,105,29,5,19,19,3,6.1%,17.5%,0.21,0.29600000000000004,0.276,0.325,0.486,20.0%,37.6%,42.4%,8.3%,13.9%,31.3%,74.4%,49.2%,51.3%,86.7%,73.5%,0.297
12284,Kevan Smith,LAA,47,41,11,1,7,3,0,8.5%,12.8%,0.146,0.294,0.268,0.36200000000000004,0.415,25.7%,51.4%,22.9%,0.0%,12.5%,22.9%,63.9%,40.5%,77.3%,93.5%,88.2%,0.318
13590,Jesse Winker,CIN,103,92,21,8,17,13,0,9.7%,18.4%,0.28300000000000003,0.2,0.228,0.311,0.511,26.0%,41.1%,32.9%,0.0%,33.3%,23.0%,70.7%,44.4%,75.5%,89.4%,85.5%,0.35700000000000004
9874,DJ LeMahieu,NYY,113,100,31,1,18,15,2,7.1%,13.3%,0.12,0.345,0.31,0.363,0.43,27.3%,44.3%,28.4%,8.0%,4.0%,27.7%,67.7%,46.0%,76.6%,94.7%,88.8%,0.375
3086,Mitch Moreland,BOS,100,89,19,8,13,17,0,10.0%,20.0%,0.326,0.177,0.213,0.29,0.539,14.3%,45.7%,40.0%,3.6%,28.6%,28.6%,74.0%,48.6%,65.6%,77.1%,73.3%,0.32799999999999996
13301,Max Muncy,LAD,110,93,23,5,11,17,0,13.6%,29.1%,0.215,0.31,0.247,0.345,0.462,17.5%,36.5%,46.0%,10.3%,17.2%,21.9%,66.8%,41.2%,58.1%,83.2%,75.6%,0.374
11850,Tyler Austin,- - -,34,28,8,0,6,1,0,17.6%,44.1%,0.036000000000000004,0.615,0.28600000000000003,0.41200000000000003,0.321,30.8%,46.2%,23.1%,0.0%,0.0%,26.3%,61.1%,38.6%,42.3%,78.8%,62.7%,0.29600000000000004
15429,Kris Bryant,CHC,121,100,23,3,18,13,1,12.4%,18.2%,0.19,0.263,0.23,0.355,0.42,21.5%,38.0%,40.5%,3.1%,9.4%,26.4%,72.0%,44.9%,69.9%,80.9%,77.0%,0.382
17350,Rafael Devers,BOS,118,102,30,0,15,8,4,11.9%,16.9%,0.078,0.366,0.294,0.385,0.373,25.6%,53.7%,20.7%,17.6%,0.0%,34.4%,69.2%,48.3%,71.6%,83.3%,78.3%,0.361
12552,Eugenio Suarez,CIN,115,100,23,7,11,16,0,11.3%,23.5%,0.26,0.239,0.23,0.322,0.49,12.2%,47.3%,40.5%,10.0%,23.3%,24.6%,68.4%,43.1%,54.3%,87.4%,76.5%,0.358
11265,Jonathan Schoop,MIN,96,90,24,4,14,11,0,3.1%,20.8%,0.222,0.303,0.267,0.313,0.489,18.6%,45.7%,35.7%,16.0%,16.0%,45.3%,79.1%,60.1%,52.6%,80.2%,68.5%,0.304
9777,Nolan Arenado,COL,129,118,32,6,20,21,1,7.0%,8.5%,0.22899999999999998,0.252,0.271,0.318,0.5,17.4%,38.5%,44.0%,14.6%,12.5%,38.2%,76.0%,53.3%,73.0%,86.5%,80.7%,0.379
11339,Jake Marisnick,HOU,49,45,12,2,10,5,1,6.1%,28.6%,0.2,0.345,0.267,0.327,0.467,20.7%,51.7%,27.6%,0.0%,25.0%,33.3%,73.3%,51.2%,56.8%,80.3%,71.8%,0.289
11445,Mark Canha,OAK,51,39,8,2,8,4,0,19.6%,25.5%,0.179,0.24,0.205,0.373,0.385,7.4%,29.6%,63.0%,17.6%,11.8%,17.4%,58.9%,34.3%,66.7%,83.9%,78.8%,0.396
11739,J.T. Realmuto,PHI,114,100,28,4,18,18,0,7.9%,21.1%,0.16,0.324,0.28,0.35100000000000003,0.44,23.1%,47.4%,29.5%,4.3%,17.4%,33.7%,70.4%,50.3%,69.2%,84.1%,78.6%,0.32799999999999996
7949,Tim Beckham,SEA,113,103,26,5,15,17,1,8.0%,32.7%,0.223,0.344,0.252,0.319,0.47600000000000003,24.2%,43.9%,31.8%,4.8%,23.8%,29.6%,61.8%,44.3%,54.7%,81.7%,71.8%,0.293
7859,Charlie Blackmon,COL,133,122,34,3,14,15,2,6.0%,16.5%,0.18,0.316,0.27899999999999997,0.331,0.45899999999999996,21.0%,41.0%,38.0%,15.8%,7.9%,35.2%,70.2%,51.3%,72.2%,85.6%,80.7%,0.364
17714,Christin Stewart,DET,64,54,12,3,6,13,0,10.9%,25.0%,0.29600000000000004,0.243,0.222,0.313,0.519,27.5%,22.5%,50.0%,5.0%,15.0%,36.9%,79.4%,53.7%,61.8%,83.1%,74.2%,0.305
13769,Adalberto Mondesi,KCR,126,115,33,3,16,24,8,4.8%,27.0%,0.217,0.366,0.287,0.312,0.504,22.4%,38.8%,38.8%,9.1%,9.1%,43.0%,78.1%,57.3%,53.4%,84.9%,71.0%,0.29100000000000004
4314,Joey Votto,CIN,110,94,23,3,13,5,0,13.6%,25.5%,0.17,0.317,0.245,0.355,0.415,19.7%,33.3%,47.0%,3.2%,9.7%,17.6%,67.5%,39.9%,60.5%,85.7%,79.5%,0.35700000000000004
11737,Nick Castellanos,DET,109,99,27,2,15,8,1,8.3%,28.4%,0.182,0.373,0.273,0.33,0.455,21.7%,33.3%,44.9%,3.2%,6.5%,36.0%,75.1%,51.3%,60.0%,87.4%,75.7%,0.337
14503,Renato Nunez,BAL,117,109,29,6,17,18,0,6.0%,27.4%,0.21100000000000002,0.324,0.266,0.316,0.47700000000000004,20.8%,31.2%,48.1%,13.5%,16.2%,37.2%,65.8%,49.3%,57.3%,85.7%,73.3%,0.311
7539,Neil Walker,MIA,88,78,20,3,6,4,1,10.2%,21.6%,0.16699999999999998,0.304,0.256,0.341,0.423,23.7%,45.8%,30.5%,5.6%,16.7%,28.6%,65.7%,43.1%,57.4%,86.7%,74.8%,0.344
11205,Adam Eaton,WSN,126,115,34,2,18,9,4,7.1%,19.8%,0.10400000000000001,0.364,0.29600000000000004,0.35700000000000004,0.4,18.4%,41.4%,40.2%,14.3%,5.7%,32.2%,61.1%,45.1%,65.5%,88.6%,79.5%,0.365
16909,Colin Moran,PIT,63,56,15,2,5,11,0,11.1%,19.0%,0.161,0.31,0.268,0.349,0.429,20.5%,45.5%,34.1%,20.0%,13.3%,31.3%,68.1%,45.5%,68.9%,87.1%,79.4%,0.322
12927,Brandon Nimmo,NYM,105,86,20,3,17,9,1,14.3%,34.3%,0.151,0.36200000000000004,0.233,0.365,0.384,28.6%,34.7%,36.7%,5.6%,16.7%,20.8%,63.4%,38.4%,36.4%,76.3%,63.6%,0.375
15711,Tyler O'Neill,STL,34,33,10,1,4,4,0,2.9%,38.2%,0.152,0.474,0.303,0.324,0.455,15.0%,45.0%,40.0%,25.0%,12.5%,42.4%,71.9%,56.1%,35.7%,61.0%,50.7%,0.311
8392,Daniel Descalso,CHC,86,76,20,2,12,11,1,11.6%,24.4%,0.145,0.34,0.263,0.349,0.408,20.0%,40.0%,40.0%,0.0%,9.1%,18.5%,60.2%,37.0%,45.0%,84.5%,73.4%,0.271
12179,Maikel Franco,PHI,118,103,26,7,15,22,0,11.9%,10.2%,0.252,0.22399999999999998,0.252,0.33899999999999997,0.505,15.2%,38.0%,46.7%,20.9%,16.3%,33.2%,75.0%,51.4%,67.1%,86.2%,79.3%,0.297
12510,Curt Casali,CIN,41,38,11,0,3,5,0,7.3%,29.3%,0.132,0.423,0.289,0.341,0.42100000000000004,34.6%,42.3%,23.1%,0.0%,0.0%,27.5%,75.7%,48.4%,60.0%,86.8%,78.2%,0.331
18363,Victor Robles,WSN,114,106,27,5,20,12,7,4.4%,29.8%,0.226,0.32799999999999996,0.255,0.301,0.48100000000000004,21.2%,28.8%,50.0%,6.1%,15.2%,32.8%,68.3%,48.3%,64.7%,86.8%,78.3%,0.326
14553,Nomar Mazara,TEX,108,99,24,5,16,20,0,5.6%,18.5%,0.222,0.257,0.242,0.306,0.465,22.8%,48.1%,29.1%,0.0%,21.7%,36.6%,70.1%,50.2%,66.0%,87.0%,77.9%,0.318
17992,David Fletcher,LAA,94,88,27,1,13,10,2,6.4%,4.3%,0.102,0.313,0.307,0.35100000000000003,0.409,25.0%,46.4%,28.6%,4.2%,4.2%,24.4%,47.9%,34.8%,90.4%,97.5%,94.7%,0.35
17901,Andrew Benintendi,BOS,118,102,27,2,13,13,2,9.3%,22.9%,0.147,0.33299999999999996,0.265,0.342,0.41200000000000003,19.5%,39.0%,41.6%,9.4%,6.3%,35.4%,74.1%,50.4%,71.1%,87.6%,80.5%,0.34299999999999997
13613,Ketel Marte,ARI,125,116,29,6,15,21,3,6.4%,19.2%,0.233,0.264,0.25,0.29600000000000004,0.483,17.4%,44.6%,38.0%,8.6%,17.1%,35.2%,69.1%,48.6%,72.8%,93.2%,84.3%,0.389
11038,Kevin Kiermaier,TBR,103,94,25,2,16,11,3,6.8%,21.4%,0.191,0.324,0.266,0.32,0.457,16.7%,55.6%,27.8%,0.0%,10.0%,30.3%,73.2%,50.1%,60.3%,86.3%,77.8%,0.278
5235,Justin Turner,LAD,124,104,29,1,12,10,0,12.1%,18.5%,0.057999999999999996,0.341,0.27899999999999997,0.379,0.337,24.1%,42.2%,33.7%,0.0%,3.6%,26.8%,64.4%,42.9%,78.5%,86.7%,83.8%,0.37200000000000005
3269,Robinson Cano,NYM,108,100,27,3,9,11,0,6.5%,20.4%,0.16,0.32,0.27,0.324,0.43,27.3%,35.1%,37.7%,6.9%,10.3%,37.0%,74.0%,52.0%,69.0%,83.3%,77.3%,0.307
9927,Brett Gardner,NYY,120,104,23,5,16,11,3,11.7%,10.8%,0.20199999999999999,0.209,0.221,0.325,0.423,10.0%,48.9%,41.1%,8.1%,13.5%,20.5%,55.7%,35.6%,75.0%,96.7%,89.6%,0.325
14140,Jose Rondon,CHW,43,41,11,2,4,4,0,4.7%,27.9%,0.195,0.33299999999999996,0.268,0.302,0.46299999999999997,20.7%,44.8%,34.5%,10.0%,20.0%,25.5%,65.8%,43.1%,64.0%,72.0%,69.3%,0.263
15191,Chad Pinder,OAK,85,79,22,3,13,11,0,4.7%,17.6%,0.165,0.306,0.278,0.318,0.44299999999999995,21.5%,53.8%,24.6%,18.8%,18.8%,35.2%,82.8%,56.2%,63.2%,84.0%,76.7%,0.29
4962,Asdrubal Cabrera,TEX,89,81,19,6,14,19,0,7.9%,23.6%,0.247,0.23600000000000002,0.235,0.292,0.48100000000000004,16.4%,39.3%,44.3%,3.7%,22.2%,27.0%,65.0%,45.4%,63.8%,90.6%,82.4%,0.342
3256,Welington Castillo,CHW,60,49,10,2,2,8,0,15.0%,18.3%,0.163,0.222,0.204,0.35,0.36700000000000005,18.4%,50.0%,31.6%,16.7%,16.7%,24.7%,55.6%,37.8%,69.4%,90.0%,82.3%,0.267
16997,Gleyber Torres,NYY,123,114,31,5,16,15,3,4.9%,22.8%,0.193,0.313,0.272,0.303,0.465,18.2%,44.3%,37.5%,6.1%,15.2%,33.5%,77.3%,52.7%,60.9%,83.8%,75.7%,0.337
8203,Dee Gordon,SEA,108,98,30,2,10,16,7,5.6%,14.8%,0.11199999999999999,0.337,0.306,0.336,0.418,18.1%,45.8%,36.1%,3.3%,6.7%,29.5%,72.8%,50.4%,77.2%,90.8%,86.7%,0.304
9077,Lorenzo Cain,MIL,133,121,33,3,22,9,3,6.8%,16.5%,0.14,0.309,0.273,0.331,0.413,29.0%,48.0%,23.0%,13.0%,13.0%,26.7%,63.8%,43.3%,61.8%,89.2%,79.9%,0.325
10951,Greg Garcia,SDP,35,28,6,1,6,2,0,17.1%,17.1%,0.179,0.22699999999999998,0.214,0.34299999999999997,0.39299999999999996,27.3%,59.1%,13.6%,0.0%,33.3%,26.5%,40.3%,31.7%,74.1%,92.0%,82.7%,0.364
12775,Brad Miller,CLE,40,36,9,1,4,4,1,10.0%,25.0%,0.16699999999999998,0.32,0.25,0.325,0.41700000000000004,20.8%,33.3%,45.8%,9.1%,9.1%,23.1%,69.4%,41.8%,57.1%,81.4%,73.4%,0.32899999999999996
1744,Miguel Cabrera,DET,117,103,29,1,10,11,0,10.3%,26.5%,0.078,0.389,0.282,0.359,0.359,23.3%,46.6%,30.1%,4.5%,4.5%,35.5%,66.8%,48.8%,70.7%,83.5%,78.1%,0.34600000000000003
10847,Andrelton Simmons,LAA,124,121,35,3,14,16,3,2.4%,8.9%,0.157,0.299,0.289,0.306,0.446,15.6%,51.4%,33.0%,11.1%,8.3%,36.2%,70.1%,50.6%,72.5%,93.9%,85.1%,0.309
14221,Jorge Soler,KCR,120,110,25,7,12,17,0,7.5%,37.5%,0.255,0.305,0.22699999999999998,0.28300000000000003,0.48200000000000004,15.2%,43.9%,40.9%,11.1%,25.9%,29.7%,71.1%,47.0%,38.1%,84.1%,67.2%,0.354
15564,Tyler White,HOU,55,46,12,0,4,0,0,16.4%,34.5%,0.043,0.444,0.261,0.382,0.304,25.9%,48.1%,25.9%,0.0%,0.0%,24.5%,61.1%,38.4%,60.5%,84.5%,75.0%,0.308
14161,Byron Buxton,MIN,86,80,20,1,12,10,6,5.8%,25.6%,0.213,0.33299999999999996,0.25,0.302,0.46299999999999997,20.7%,24.1%,55.2%,12.5%,3.1%,37.4%,76.9%,53.3%,50.7%,82.8%,69.4%,0.314
7287,Carlos Gonzalez,CLE,51,46,12,2,8,5,0,7.8%,23.5%,0.13,0.313,0.261,0.33299999999999996,0.391,20.6%,58.8%,20.6%,14.3%,28.6%,34.5%,74.0%,49.7%,57.5%,79.6%,70.2%,0.289
10071,Jonathan Villar,BAL,135,122,32,3,19,10,6,8.1%,17.0%,0.139,0.302,0.262,0.32799999999999996,0.402,22.2%,49.5%,28.3%,10.7%,10.7%,29.3%,75.7%,49.4%,63.3%,86.0%,78.4%,0.33899999999999997
16478,Kyle Schwarber,CHC,91,83,20,4,9,8,0,8.8%,29.7%,0.193,0.308,0.24100000000000002,0.308,0.434,18.5%,44.4%,37.0%,0.0%,20.0%,23.5%,67.7%,42.3%,57.7%,79.3%,72.4%,0.33899999999999997
3516,Eric Hosmer,SDP,120,111,28,5,14,18,0,7.5%,23.3%,0.18899999999999997,0.295,0.252,0.308,0.441,23.2%,47.6%,29.3%,4.2%,20.8%,32.7%,76.4%,49.9%,60.0%,85.3%,75.2%,0.31
11846,Leonys Martin,CLE,120,104,23,5,16,8,1,9.2%,30.0%,0.183,0.28600000000000003,0.221,0.319,0.40399999999999997,15.2%,42.4%,42.4%,25.0%,17.9%,31.5%,75.8%,50.8%,48.1%,76.0%,66.2%,0.276
5913,Leury Garcia,CHW,111,102,29,1,21,11,4,4.5%,25.2%,0.098,0.384,0.284,0.336,0.382,18.1%,55.6%,26.4%,5.3%,5.3%,37.8%,76.4%,55.4%,55.7%,85.7%,74.5%,0.31
9112,Khris Davis,OAK,120,110,24,9,13,19,0,7.5%,28.3%,0.264,0.22399999999999998,0.218,0.28300000000000003,0.48200000000000004,19.7%,32.9%,47.4%,2.8%,25.0%,33.1%,80.2%,52.1%,42.9%,76.8%,64.0%,0.293
15679,Rowdy Tellez,TOR,86,77,17,5,12,16,0,7.0%,31.4%,0.23399999999999999,0.261,0.221,0.29100000000000004,0.455,23.5%,37.3%,39.2%,5.0%,25.0%,38.6%,76.0%,51.7%,58.1%,81.5%,70.2%,0.293
13367,Stephen Piscotty,OAK,126,113,29,3,13,13,1,9.5%,23.0%,0.142,0.317,0.257,0.325,0.39799999999999996,20.0%,40.0%,40.0%,2.9%,8.8%,29.5%,69.5%,46.4%,59.8%,79.4%,72.2%,0.309
10231,Jose Iglesias,CIN,84,79,24,1,9,6,0,4.8%,14.3%,0.08900000000000001,0.348,0.304,0.345,0.392,29.9%,46.3%,23.9%,12.5%,6.3%,40.9%,65.4%,51.7%,79.1%,90.6%,85.5%,0.318
2530,Yonder Alonso,CHW,100,84,16,5,13,13,0,16.0%,15.0%,0.214,0.172,0.19,0.32,0.405,18.8%,39.1%,42.0%,10.3%,17.2%,24.2%,70.7%,43.2%,60.3%,91.5%,81.3%,0.29600000000000004
9627,Yan Gomes,WSN,70,63,16,2,6,8,0,8.6%,28.6%,0.127,0.341,0.254,0.32899999999999996,0.381,20.9%,44.2%,34.9%,6.7%,13.3%,34.7%,65.8%,47.7%,69.0%,74.7%,72.3%,0.316
10556,Cesar Hernandez,PHI,121,109,29,2,14,9,2,9.1%,13.2%,0.128,0.293,0.266,0.331,0.39399999999999996,23.4%,45.7%,30.9%,6.9%,6.9%,28.9%,64.2%,44.6%,73.0%,88.5%,82.9%,0.33299999999999996
15447,Ryon Healy,SEA,121,107,24,4,17,18,0,9.1%,20.7%,0.215,0.25,0.22399999999999998,0.298,0.439,17.9%,34.5%,47.6%,17.5%,10.0%,24.8%,67.0%,44.2%,48.4%,90.8%,77.9%,0.289
10047,Wil Myers,SDP,107,101,25,5,13,11,2,5.6%,36.4%,0.198,0.35100000000000003,0.248,0.29,0.446,23.7%,39.0%,37.3%,9.1%,22.7%,27.8%,66.8%,44.5%,57.4%,75.6%,69.1%,0.321
11902,Hanser Alberto,BAL,74,71,23,1,2,7,1,2.7%,10.8%,0.055999999999999994,0.349,0.324,0.33799999999999997,0.38,23.7%,49.2%,27.1%,6.3%,6.3%,43.6%,75.8%,55.8%,69.1%,93.1%,81.4%,0.32899999999999996
5760,Avisail Garcia,TBR,104,97,24,4,12,10,2,5.8%,29.8%,0.196,0.32299999999999995,0.247,0.298,0.44299999999999995,18.2%,43.9%,37.9%,0.0%,16.0%,41.5%,76.9%,55.2%,48.0%,75.8%,63.1%,0.332
12546,C.J. Cron,MIN,88,82,19,5,9,14,0,5.7%,20.5%,0.22,0.237,0.23199999999999998,0.284,0.451,26.6%,37.5%,35.9%,8.7%,21.7%,32.6%,71.7%,49.7%,55.7%,84.6%,73.9%,0.311
5254,Robbie Grossman,OAK,86,74,16,3,11,8,2,14.0%,18.6%,0.162,0.23600000000000002,0.21600000000000003,0.326,0.37799999999999995,19.3%,29.8%,50.9%,3.4%,10.3%,14.3%,57.8%,35.1%,60.0%,89.2%,83.1%,0.33399999999999996
7619,Mark Reynolds,COL,67,53,10,3,5,8,1,14.9%,37.3%,0.18899999999999997,0.259,0.18899999999999997,0.32799999999999996,0.377,30.0%,36.7%,33.3%,30.0%,30.0%,26.9%,65.8%,43.8%,38.1%,78.5%,64.5%,0.29
1177,Albert Pujols,LAA,107,91,20,4,10,15,0,11.2%,13.1%,0.17600000000000002,0.213,0.22,0.318,0.396,12.7%,43.0%,44.3%,25.7%,11.4%,30.4%,56.1%,41.5%,69.4%,89.1%,80.9%,0.305
10243,Randal Grichuk,TOR,119,110,27,4,16,11,0,6.7%,28.6%,0.17300000000000001,0.319,0.245,0.303,0.418,19.7%,39.5%,40.8%,9.7%,12.9%,35.4%,69.9%,49.1%,49.5%,83.7%,68.8%,0.28
15518,Amed Rosario,NYM,113,106,29,2,10,17,3,6.2%,23.0%,0.132,0.34600000000000003,0.27399999999999997,0.319,0.406,20.0%,47.5%,32.5%,3.8%,7.7%,37.1%,74.8%,51.8%,58.7%,79.0%,70.1%,0.32299999999999995
15194,Jake Bauers,CLE,99,87,21,3,12,11,1,11.1%,21.2%,0.138,0.281,0.24100000000000002,0.32299999999999995,0.379,16.7%,43.9%,39.4%,15.4%,11.5%,21.6%,69.6%,42.4%,64.7%,92.9%,84.7%,0.312
11493,Manny Machado,SDP,120,106,25,4,14,12,1,10.0%,25.0%,0.132,0.292,0.23600000000000002,0.325,0.368,18.4%,44.7%,36.8%,17.9%,14.3%,32.6%,69.5%,46.8%,53.8%,83.7%,70.8%,0.33399999999999996
13624,Corey Seager,LAD,126,110,26,2,18,9,0,11.9%,21.4%,0.127,0.29600000000000004,0.23600000000000002,0.33299999999999996,0.364,20.5%,34.9%,44.6%,5.4%,5.4%,27.8%,74.6%,47.5%,53.2%,87.3%,75.8%,0.335
15585,Mike Ford,NYY,32,24,4,1,6,2,0,21.9%,25.0%,0.16699999999999998,0.2,0.16699999999999998,0.375,0.33299999999999996,31.3%,31.3%,37.5%,33.3%,16.7%,19.0%,56.4%,34.3%,66.7%,90.3%,82.6%,0.35
8090,Matt Carpenter,STL,125,104,21,3,18,5,1,16.0%,24.8%,0.154,0.254,0.20199999999999999,0.32799999999999996,0.35600000000000004,27.8%,20.8%,51.4%,0.0%,8.1%,21.1%,65.4%,40.5%,54.5%,86.2%,76.9%,0.33399999999999996
9166,Buster Posey,SFG,97,88,22,1,7,9,0,8.2%,16.5%,0.14800000000000002,0.292,0.25,0.309,0.39799999999999996,26.0%,41.1%,32.9%,4.2%,4.2%,36.2%,63.9%,47.8%,68.8%,96.0%,84.1%,0.32
15223,Adam Frazier,PIT,105,93,24,1,13,6,2,9.5%,14.3%,0.086,0.299,0.258,0.337,0.344,28.6%,37.7%,33.8%,7.7%,3.8%,25.3%,64.1%,42.4%,75.9%,87.1%,83.3%,0.336
3312,Martin Prado,MIA,73,68,20,1,7,8,0,4.1%,13.7%,0.10300000000000001,0.322,0.294,0.315,0.397,23.3%,53.3%,23.3%,14.3%,7.1%,33.1%,53.0%,41.9%,73.2%,95.7%,85.7%,0.265
11200,Kole Calhoun,LAA,121,108,21,7,17,16,0,10.7%,25.6%,0.24100000000000002,0.2,0.19399999999999998,0.281,0.435,16.9%,37.7%,45.5%,8.6%,20.0%,24.2%,70.5%,43.9%,43.1%,83.7%,70.9%,0.325
12158,Austin Barnes,LAD,87,73,15,3,13,10,1,13.8%,18.4%,0.16399999999999998,0.218,0.205,0.322,0.37,19.0%,46.6%,34.5%,10.0%,15.0%,18.6%,58.0%,36.5%,75.0%,87.2%,83.8%,0.293
8259,Kurt Suzuki,WSN,53,48,12,2,4,9,0,3.8%,15.1%,0.146,0.256,0.25,0.302,0.396,26.8%,34.1%,39.0%,6.3%,12.5%,35.2%,78.2%,56.6%,67.7%,88.2%,81.8%,0.324
